"symbol","label","description","unit","input_type","formula","calculation_order"
"mdd_cb","Created By",,"number","na",,
"mdd_cho","Checked On",,"datetime","na",,
"mdd_chb","Checked By",,"number","na",,
"mdd_ao","Approved On",,"datetime","na",,
"mdd_ab","Approved By",,"number","na",,
"mdd_sm1","Sample Mass",,"grams","in",,
"mdd_pa1","Percentage Added",,"%","in",,
"mdd_wa1","Water Added",,"ml","in",,
"mdd_mn1","Mould Number",,"number","in",,
"mdd_mm1","Mould Mass",,"grams","in",,
"mdd_mv1","Mould Volume",,"ml^3","in",,
"mdd_mwm1","Mould Plus Wet Mass",,"grams","in",,
"mdd_wd1","Wet Density",,"kg/m^3","calc","((mdd_mwm1-mdd_mm1)/mdd_mv1)*1000",700
"mdd_edd1","Estimated Dry Density",,"kg/m^3","calc","(mdd_wd1/(1+(mdd_pa1/100)))",701
"mdd_pn1","Pan Number",,"number","in",,
"mdd_pwmp1","Pan Wet Mass Plus Pan",,"grams","in",,
"mdd_pdmp1","Pan Dry Mass Plus Pan",,"grams","in",,
"mdd_pm1","Pan Mass",,"grams","in",,
"mdd_amc1","Actual Moisture Content",,"%","calc","((mdd_pwmp1-mdd_pdmp1)*100)/(mdd_pdmp1-mdd_pm1)",703
"mdd_add1","Actual Dry Density",,"kg/m^3","calc","(mdd_wd1/(1+(mdd_amc1/100)))",704
"mdd_hm1","Hydroscopic Moisture",,"%","calc","mdd_amc1-mdd_pa1",705
"mdd_sm2","Sample Mass",,"grams","in",,
"mdd_pa2","Percentage Added",,"%","in",,
"mdd_wa2","Water Added",,"ml","in",,
"mdd_mn2","Mould Number",,"number","in",,
"mdd_mm2","Mould Mass",,"grams","in",,
"mdd_mv2","Mould Volume",,"ml^3","in",,
"mdd_mwm2","Mould Plus Wet Mass",,"grams","in",,
"mdd_wd2","Wet Density",,"kg/m^3","calc","((mdd_mwm2-mdd_mm2)/mdd_mv2)*1000",706
"mdd_edd2","Estimated Dry Density",,"kg/m^3","calc","(mdd_wd2/(2+(mdd_pa2/100)))",707
"mdd_pn2","Pan Number",,"number","in",,
"mdd_pwmp2","Pan Wet Mass Plus Pan",,"grams","in",,
"mdd_pdmp2","Pan Dry Mass Plus Pan",,"grams","in",,
"mdd_pm2","Pan Mass",,"grams","in",,
"mdd_amc2","Actual Moisture Content",,"%","calc","((mdd_pwmp2-mdd_pdmp2)*100)/(mdd_pdmp2-mdd_pm2)",708
"mdd_add2","Actual Dry Density",,"kg/m^3","calc","(mdd_wd2/(2+(mdd_amc2/100)))",709
"mdd_hm2","Hydroscopic Moisture",,"%","calc","mdd_amc2-mdd_pa2",710
"mdd_sm3","Sample Mass",,"grams","in",,
"mdd_pa3","Percentage Added",,"%","in",,
"mdd_wa3","Water Added",,"ml","in",,
"mdd_mn3","Mould Number",,"number","in",,
"mdd_mm3","Mould Mass",,"grams","in",,
"mdd_mv3","Mould Volume",,"ml^3","in",,
"mdd_mwm3","Mould Plus Wet Mass",,"grams","in",,
"mdd_wd3","Wet Density",,"kg/m^3","calc","((mdd_mwm3-mdd_mm3)/mdd_mv3)*1000",711
"mdd_edd3","Estimated Dry Density",,"kg/m^3","calc","(mdd_wd3/(3+(mdd_pa3/100)))",712
"mdd_pn3","Pan Number",,"number","in",,
"mdd_pwmp3","Pan Wet Mass Plus Pan",,"grams","in",,
"mdd_pdmp3","Pan Dry Mass Plus Pan",,"grams","in",,
"mdd_pm3","Pan Mass",,"grams","in",,
